question,gold_answer,best_width,best_retrieval_f1,length_ratio,num_entities,sentence_complexity,keyword_density,sentiment_strength,dependency_depth,multi_entity_flag,pronoun_density,verb_density,question_word_what,question_word_how,question_word_why,correct_widths
San Francisco National Cemetery is located at a park that is part of what National Recreation Area?,Golden Gate National Recreation Area,2,0.5714,1.075418756908426,1.0,1.0,0.5,0.0,8.0,0.0,0.1111111111111111,0.0555555555555555,1.0,0.0,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]"
What was the middle name of the pilot who was portrayed by Levon Helm in the film The Right Stuff ?,Lynwood,2,1.0,1.3284584644162911,1.0,1.0,0.3809523809523809,0.0,8.0,0.0,0.0952380952380952,0.0476190476190476,1.0,0.0,0.0,"[2, 3, 5, 6, 7, 8, 9]"
Which physicist known for his work on parity violation has a son who became an American chemist teaching at Cornell University?,Tsung-Dao Lee,2,1.0,1.3284584644162911,2.0,1.0,0.4090909090909091,0.4939,8.0,0.0,0.0909090909090909,0.1818181818181818,1.0,0.0,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]"
Folie à Deux is a studio album by the American rock band formed in which city?,Wilmette,2,1.0,1.01215883003146,1.0,0.0,0.5294117647058824,0.0,8.0,0.0,0.0,0.0588235294117647,1.0,0.0,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]"
Are the mountains known as Trivor and The Crown both found in Asia?,yes,2,1.0,0.8223790494005612,1.0,2.0,0.2857142857142857,0.0,6.0,0.0,0.0714285714285714,0.1428571428571428,0.0,0.0,0.0,"[2, 4, 5, 8, 9]"
What was the slogan  that came about from the idea of Lebensraum which had its most extreme form supported by the Nazi Party until the end of World War II?,Blood and soil,2,0.5714,1.8977978063089875,1.0,2.0,0.34375,0.1635,13.0,0.0,0.125,0.09375,1.0,0.0,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]"
Who followed the father of Menucha Rochel Slonim?,Menachem Mendel Schneersohn,2,0.5714,0.50607941501573,1.0,1.0,0.3333333333333333,0.0,5.0,0.0,0.1111111111111111,0.2222222222222222,1.0,0.0,0.0,"[2, 4, 5, 6, 7, 8]"
"A Car-Tune Portrait was released on June 26, 1937, the cartoon gives an imaginative take on which second in a set of works by composer Franz Liszt?",Hungarian Rhapsody No. 2,2,0.5714,1.7080180256780886,2.0,2.0,0.375,0.0,9.0,0.0,0.03125,0.0625,1.0,0.0,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]"
Lisa Howard had a role in the comedy that had music and lyrics by whom?,William Finn,2,0.5714,0.9488989031544935,1.0,2.0,0.375,0.3612,7.0,0.0,0.125,0.125,0.0,1.0,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]"
"What abbey, founded in 598, was Clarembald a monk at?",St Augustine's Abbey,2,1.0,0.6325992687696624,1.0,0.0,0.2307692307692307,0.0,5.0,0.0,0.0,0.0769230769230769,1.0,0.0,0.0,"[2, 3, 4, 5, 6, 7, 8]"
"The man nicknamed ""the Mayor of Silicon Valley""  was credited along with what engineer that was awarded the nobel prize for physics on December 10, 2000",Jack Kilby,2,1.0,1.6447580988011223,2.0,0.0,0.3,0.8176,7.0,0.0,0.0666666666666666,0.1,1.0,0.0,0.0,"[2, 3, 4, 5, 6, 7, 8, 9]"
